album_name,composer
Marie Antoinette [Disc 2],Reitzell / Beggs
Battlestar Galactica Season One,Bear McCreary
Los Angeles,Flying Lotus
Parachutes,Coldplay
Finally We Are No One,Mum
Red Seas & Lost Ghosts,M83
Los Angeles,Flying Lotus
Rock Action,Mogwai
The Stone Roses,The Stone Roses
Electr-o-pura,Yo La Tengo
Ocean's Twelve,David Holmes
Rock Action,Mogwai
Battlestar Galactica Season One,Bear McCreary
Finally We Are No One,Mum
Global Underground 5 Afterhours,eelke kleijn
The Golden Unplugged Album,Radiohead
Lazare,Principles Of Geometry
The Last Broadcast,Doves
Iamthedirectory,White Noise Carousel
Lost Sides [Australia CD],Doves
Fallen Empires,Snow Patrol
Neu! 2,Neu!
The Downward Spiral,Nine Inch Nails
Meo eyrum endalaust,Sigur Ros
Another Green World,Brian Eno
Volume One,She & Him
I Can Hear The Heart Beating As One,Yo La Tengo
The Seamless Unspeakable Something,Tipper
Lazare,Principles Of Geometry
Cocoon,Moonbeam
Year Zero,Nine Inch Nails
Marie Antoinette [Disc 2],Dustin O'Halloran
Los Angeles,Flying Lotus
Lost Souls,Doves
Utilities EP CDM,James_Zabiela
The Photo Album,Death Cab for Cutie
Unknown Album,David Shire
Neu! 2,Neu!
Walking With Thee,Clinic
Another Green World,Brian Eno
Electr-o-pura,Yo La Tengo
Fever To Tell,Yeah Yeah Yeahs
Pillowface And His Airplane Chronicles,Steve Aoki
The Fragile (Left),Nine Inch Nails
Los Angeles,Flying Lotus
Fever To Tell,Yeah Yeah Yeahs
Uneasy Listening,DJ Z-Trip & DJ P
Takk,Sigur Ros
Marie Antoinette [Disc 2],Aphex Twin
Pillowface And His Airplane Chronicles,Steve Aoki
Ghost,Radical Face
Self Defence [CD3],UNKLE
Amnesiac,Radiohead
Meo eyrum endalaust,Sigur Ros
Unknown Album,Cinemaphonic
Hail To The Thief,Radiohead
Walking With Thee,Clinic
Unknown Album,John Barry
False 2007,Mathew Dear
Marie Antoinette [Disc 2],Dustin O'Halloran
Before The Dawn Heals Us,M83
Fallen Empires,Snow Patrol
Media,The Faint
A Night At The Ritz,Office
Post,Bjork
Neu! 2,Neu!
Fever To Tell,Yeah Yeah Yeahs
The Seamless Unspeakable Something,Tipper
Come on Die Young,Mogwai
Global Underground 5 Afterhours,culprit 1
A Night At The Ritz,Office
She Hangs Brightly,Mazzy Star
Marie Antoinette [Disc 2],Squarepusher
False 2007,Mathew Dear
Pablo Honey,Radiohead
Ocean's Eleven,David Holmes
Volume One,She & Him
Southland Tales (OST),Rebekah Del Rio And The Section Quartet
The Golden Unplugged Album,Radiohead
Stoned & Dethroned,The Jesus And Mary Chain
Winchester Cathedral,Clinic
Los Angeles,Flying Lotus
Kingdom Of Champions,Earlimart
Lazer Guided Melodies,Spiritualized
False 2007,Mathew Dear
Tip Hop,Tipper
You Can Play These Songs With Chords,Death Cab for Cutie
Stoned & Dethroned,The Jesus And Mary Chain
Fever To Tell,Yeah Yeah Yeahs
My Iron Lung [EP] [UK],Radiohead
Southland Tales (OST),Moby
Von,Sigur Ros
Uneasy Listening,DJ Z-Trip & DJ P
Neon Bible,Arcade Fire
Uneasy Listening,DJ Z-Trip & DJ P
Parachutes,Coldplay
Takk,Sigur Ros
Brainfreeze Breaks,Salt
Lazare,Principles Of Geometry
Winchester Cathedral,Clinic
Blank Wave Arcade,The Faint
Before The Dawn Heals Us,M83
Unknown Album,Guided By Voices
Pillowface And His Airplane Chronicles,Steve Aoki
Surrounded,Tipper
Brainfreeze Breaks,Tony Alvon & The Belairs
Los Angeles,Flying Lotus
The Country Side of,Dean Martin
You Forgot It In People,Broken Social Scene
False 2007,Mathew Dear
Stories From The City,PJ Harvey
I Can Hear The Heart Beating As One,Yo La Tengo
title,David Holmes
Uneasy Listening,DJ Z-Trip & DJ P
Pablo Honey,Radiohead
I Can Hear The Heart Beating As One,Yo La Tengo
Made In The Dark,Hot Chip
Another Green World,Brian Eno
Electr-o-pura,Yo La Tengo
Blank Wave Arcade,The Faint
The Golden Unplugged Album,Radiohead
Heaven Up Here,Echo & The Bunnymen
Los Angeles,Flying Lotus
Los Angeles,Flying Lotus
The Unexpektheadz Chapter II: A Space Conquest Soundtrack,Xerak
She Wants Revenge,She Wants Revenge
Post,Bjork
Another Green World,Brian Eno
Volume One,She & Him
The Fragile (Right),Nine Inch Nails
Volume One,She & Him
Brainfreeze Breaks,Giorgio
Stoned & Dethroned,The Jesus And Mary Chain
Stoned & Dethroned,The Jesus And Mary Chain
Neu! 2,Neu!
Lost Sides [Australia CD],Doves
High Rising,Sounds From The Ground
Unknown Album,Chris Isaak
Ocean's Twelve OST,David Holmes
Media,The Faint
Von,Sigur Ros
Stoned & Dethroned,The Jesus And Mary Chain
Walking With Thee,Clinic
Marie Antoinette [Disc 2],Aphex Twin
Marie Antoinette [Disc 2],Fancois Couperin / Reitzell
Volume One,She & Him
And All That Could Have Been CD2 Still,Nine Inch Nails
Brainfreeze Breaks,Eddie Bo
War Stories,UNKLE
War Stories,UNKLE
Volume One,She & Him
Stoned & Dethroned,The Jesus And Mary Chain
Winchester Cathedral,Clinic
Brainfreeze Breaks,The Nu People
Bombay 2: Electric Vindaloo,Djmedjyou
Motors Into The Drink,Your American Math
Fevers & Mirrors,Bright Eyes
Blank Wave Arcade,The Faint
The Photo Album,Death Cab for Cutie
Blank Wave Arcade,The Faint
Volume One,She & Him
Another Day On Earth,Brian Eno
Winchester Cathedral,Clinic
Fever To Tell,Yeah Yeah Yeahs
Blank Wave Arcade,The Faint
Pablo Honey,Radiohead
Stoned & Dethroned,The Jesus And Mary Chain
I Can Hear The Heart Beating As One,Yo La Tengo
Bombay 2: Electric Vindaloo,Djmedjyou
Forever Blue,Chris Isaak
The Golden Unplugged Album,Radiohead
Treble & Tremble,Earlimart
Stoned & Dethroned,The Jesus And Mary Chain
Rain Dogs,Tom Waits
Brainfreeze Breaks,The Soul Lifters
Let The Blind Lead Those Who Can See But Cannot Feel,Atlas Sound
Los Angeles,Flying Lotus
Lazer Guided Melodies,Spiritualized
Before The Dawn Heals Us,M83
Some Cities,Doves
Fevers & Mirrors,Bright Eyes
Saglopur,Sigur Ros
Volume One,She & Him
The Fragile (Right),Nine Inch Nails
A Night At The Ritz,Office
The Unexpektheadz Chapter II: A Space Conquest Soundtrack,Leonard De Leonard
Year Zero,Nine Inch Nails
My Iron Lung [EP] [UK],Radiohead
Brainfreeze Breaks,The Singing Principal
Marie Antoinette [Disc 1],The Strokes
Songs To Learn & Sing,Echo & The Bunnymen
Media,The Faint
The Language Of Cities,Maserati
Pillowface And His Airplane Chronicles,Steve Aoki
Pillowface And His Airplane Chronicles,Steve Aoki
The Seamless Unspeakable Something,Tipper
Volume One,She & Him
Death Cab for Cutie,Death Cab for Cutie
False 2007,Mathew Dear
The Unexpektheadz Chapter II: A Space Conquest Soundtrack,Gangpol & Groupgris
Happy Songs for Happy People,Mogwai
Another Green World,Brian Eno
Let The Blind Lead Those Who Can See But Cannot Feel,Atlas Sound
Made In The Dark,Hot Chip
Baja Sessions,Chris Isaak
And All That Could Have Been CD2 Still,Nine Inch Nails
Tip Hop,Tipper
Uneasy Listening,DJ Z-Trip & DJ P
Surrounded,Tipper
The Language Of Cities,Maserati
Iamthedirectory,White Noise Carousel
Government Commissions (BBC Sessions 1996-2003),Mogwai
Let The Blind Lead Those Who Can See But Cannot Feel,Atlas Sound
Atlanta Live 28mar08,Underworld
Lost Sides [Australia CD],Doves
Brainfreeze Breaks,Rueben Bell
Show,The Cure
Ocean's Twelve OST,David Holmes
Walking With Thee,Clinic
Blank Wave Arcade,The Faint
Transatlanticism,Death Cab For Cutie
Brainfreeze Breaks,Fried Chicken
Rain Dogs,Tom Waits
Yoshimi Battles The Pink Robots,The Flaming Lips
Finally We Are No One,Mum
Uneasy Listening,DJ Z-Trip & DJ P
The Downward Spiral,Nine Inch Nails
Let The Blind Lead Those Who Can See But Cannot Feel,Atlas Sound
Second Coming,The Stone Roses
Stoned & Dethroned,The Jesus And Mary Chain
Walking With Thee,Clinic
Bombay 2: Electric Vindaloo,Djmedjyou
Danse Macabre,The Faint
Another Green World,Brian Eno
BBC Live 2001,Radiohead
Los Angeles,Flying Lotus
She Hangs Brightly,Mazzy Star
Los Angeles,Flying Lotus
Uneasy Listening,DJ Z-Trip & DJ P
Nowhere,Ride
Made In The Dark,Hot Chip
Everyone Down Here,Earlimart
Misery Is a Butterfly,Blonde Redhead
Lost Sides [Australia CD],Doves
Iamthedirectory,White Noise Carousel
Another Green World,Brian Eno
Volume One,She & Him
Another Green World,Brian Eno
Happy Songs for Happy People,Mogwai
Antics,Interpol
LCD Soundsystem (Disc 1),LCD Soundsystem
The Stone Roses,The Stone Roses
Meo eyrum endalaust,Sigur Ros
Fever To Tell,Yeah Yeah Yeahs
Turn on the Bright Lights,Interpol
Electr-o-pura,Yo La Tengo
Red Seas & Lost Ghosts,M83
Homogenic,Bjork
Crystal Castles,Crystal Castles
Misery Is a Butterfly,Blonde Redhead
Marie Antoinette [Disc 1],Gang Of Four
Blank Wave Arcade,The Faint
I Can Hear The Heart Beating As One,Yo La Tengo
The Golden Unplugged Album,Radiohead
With Teeth,Nine Inch Nails
Los Angeles,Flying Lotus
Songs To Learn & Sing,Echo & The Bunnymen
Pablo Honey,Radiohead
A Night At The Ritz,Office
Stoned & Dethroned,The Jesus And Mary Chain
everyone down here,Earlimart
Marie Antoinette [Disc 2],Dustin O'Halloran
Happy Songs for Happy People,Mogwai
Stoned & Dethroned,The Jesus And Mary Chain
I'm Wide Awake It's Morning,Bright Eyes
Unknown Album,Art Of Noise
The Bends,Radiohead
Danse Macabre,The Faint
Yoshimi Battles The Pink Robots,The Flaming Lips
Plans,Death Cab For Cutie
Pablo Honey,Radiohead
Winchester Cathedral,Clinic
Unknown Album,Beck
Unknown Album,Cat Power
Small Change,Tom Waits
Neon Bible,Arcade Fire
Post,Bjork
Unknown Album,Coldplay
Richard D. James,Aphex Twin
World of Sleepers,Carbon Based Lifeforms
Global Underground 030: Paris (Disc 1),Audioglider
Post,Bjork
Night On Fire,Vhs Or Beta
Global Underground 030: Paris (Disc 1),Tripswitch
Post,Bjork
One Cello x 16: Natoma,Zoe Keating
Global Underground 030: Paris (Disc 1),Audioglider
One Cello x 16: Natoma,Zoe Keating
One Cello x 16: Natoma,Zoe Keating
Global Underground 030: Paris (Disc 1),Tripswitch
